Calendar_Year,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments_(%),Indigenous_Enrolments,Language_Background_Other_Than_English_Yes_(%),Language_Background_Other_Than_English_No_(%),Language_Background_Other_Than_English_Not Stated_(%)
2022,Princes Hill,VIC,3054,Government,Secondary,School Head Campus,07-Dec,Major Cities,1149,95,4,9,24,63,77,63.4,37,20.8,853,397,456,0,0,19,74,7
2022,Reservoir,VIC,3074,Government,Secondary,School Single Entity,Jul-13,Major Cities,967,32,45,29,17,9,58,49,23,18,565,259,306,6,34,54,44,1
2022,Richmond,VIC,3122,Government,Secondary,School Head Campus,07-Dec,Major Cities,1064,70,21,20,23,36,57,54,24,17,660,528,132,3,20,25,75,0
2022,Ringwood,VIC,3135,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1053,70,16,28,32,24,123,104,60,46,1424,712,712,1,14,15,85,0
2022,Rosebud,VIC,3939,Government,Secondary,School Single Entity,07-Dec,Major Cities,982,38,42,33,17,7,92,76.9,43,33,856,432,424,3,26,3,97,0
2022,Rowville,VIC,3178,Government,Secondary,School Head Campus,07-Dec,Major Cities,1020,56,26,33,28,13,145,127,91,60.1,1777,866,911,1,18,14,85,1
2022,Roxburgh Park,VIC,3064,Government,Secondary,School Head Campus,"U, 7-12",Major Cities,915,14,64,22,11,3,127,115.6,77,57.8,1154,550,604,2,23,79,20,1
2022,Sandringham,VIC,3191,Government,Secondary,School Head Campus,07-Dec,Major Cities,1093,83,9,20,32,40,97,86.1,37,27.9,977,441,536,1,10,17,81,2
2022,Scoresby,VIC,3179,Government,Secondary,School Single Entity,07-Dec,Major Cities,983,39,41,29,19,10,30,24.7,13,8.9,251,111,140,4,10,12,87,1
2022,Seaford,VIC,3198,Government,Secondary,School Single Entity,07-Dec,Major Cities,1006,49,29,37,24,10,107,97,47,37,1192,548,644,3,36,12,85,4
2022,Somerville,VIC,3912,Government,Secondary,School Single Entity,07-Dec,Major Cities,968,32,46,35,15,4,37,35.6,25,19.4,325,154,171,3,10,3,97,0
2022,South Melbourne,VIC,3205,Independent,Secondary,School Single Entity,11-Dec,Major Cities,952,26,50,22,20,8,6,6,3,2.4,52,19,33,4,2,28,72,0
2022,South Morang,VIC,3752,Independent,Secondary,School Single Entity,10-Dec,Major Cities,980,37,41,43,9,8,4,4,6,4.2,40,19,21,3,1,6,94,0
2022,South Yarra,VIC,3141,Government,Secondary,School Head Campus,09-Dec,Major Cities,1166,97,4,7,25,64,116,97.3,52,29.3,1369,0,1369,0,0,87,12,0
2022,Southbank,VIC,3006,Government,Secondary,School Single Entity,07-Dec,Major Cities,1137,93,3,11,32,53,54,41.9,68,25.1,353,236,117,0,0,28,72,0
2022,Springvale,VIC,3171,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1005,49,32,31,27,11,95,85.7,46,36.6,971,971,0,0,0,58,42,0
2022,Springvale South,VIC,3172,Government,Secondary,School Head Campus,07-Dec,Major Cities,933,19,60,23,13,5,177,163.2,90,70.1,1874,882,992,1,19,83,17,0
2022,St Albans,VIC,3022,Catholic,Secondary,School Single Entity,07-Nov,Major Cities,953,26,52,26,15,7,94,86,45,36,1051,485,566,1,11,80,20,0
2022,St Kilda East,VIC,3183,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1081,79,11,23,33,33,51,46.7,28,20.2,512,107,405,0,0,33,67,0
2022,Strathmore,VIC,3041,Government,Secondary,School Single Entity,07-Dec,Major Cities,1080,79,11,25,31,33,180,153.7,75,49.3,1912,877,1035,1,19,40,60,0
2022,Sunbury,VIC,3430,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1012,52,30,32,26,12,95,84,45,37,1042,499,543,2,21,8,92,0
2022,Sunshine West,VIC,3021,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,965,31,45,30,20,5,98,89,47,37,954,639,315,1,10,56,42,2
2022,Sydenham,VIC,3037,Catholic,Secondary,School Single Entity,11-Dec,Major Cities,1018,55,26,33,29,13,87,82,47,36.5,903,423,480,0,0,33,67,0
2022,Tarneit,VIC,3030,Government,Secondary,School Single Entity,Oct-13,Major Cities,1019,55,28,29,27,16,86,83,45,41,1067,527,540,1,11,59,41,0
2022,Taylors Lakes,VIC,3038,Government,Secondary,School Single Entity,07-Dec,Major Cities,1000,47,32,36,23,9,120,105.1,47,31.7,1365,697,668,1,14,48,52,0
2022,Templestowe Lower,VIC,3107,Government,Secondary,School Single Entity,07-Dec,Major Cities,1098,84,7,22,32,39,83,77.9,70,51.2,1183,541,642,1,12,19,81,0
2022,Thomastown,VIC,3074,Government,Secondary,School Single Entity,07-Dec,Major Cities,918,14,65,22,12,2,59,53.5,14,12.1,532,263,269,2,11,85,13,2
2022,Thornbury,VIC,3071,Government,Secondary,School Single Entity,07-Dec,Major Cities,1052,70,18,25,28,28,95,82.3,41,26.8,1053,486,567,4,42,40,59,1
2022,Upwey,VIC,3158,Government,Secondary,School Single Entity,07-Dec,Major Cities,1039,65,20,34,28,18,75,65.2,43,27.4,840,417,423,0,0,5,93,2
2022,Vermont,VIC,3133,Government,Secondary,School Single Entity,07-Dec,Major Cities,1105,86,7,19,32,42,131,113.2,52,31.1,1519,756,763,0,0,44,55,0
2022,Vermont South,VIC,3133,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1071,76,8,29,40,24,143,107.2,65,50.4,1392,680,712,0,0,23,77,0
2022,Viewbank,VIC,3084,Government,Secondary,School Single Entity,07-Dec,Major Cities,1115,88,7,16,31,46,127,110.5,36,25.9,1470,692,778,0,0,36,63,1
2022,Wallan,VIC,3756,Government,Secondary,School Single Entity,07-Dec,Major Cities,965,31,45,34,15,6,57,52.3,33,26.1,704,349,355,7,49,25,75,0
2022,Wantirna,VIC,3152,Government,Secondary,School Single Entity,07-Dec,Major Cities,1021,56,25,34,27,13,119,106.7,50,36.5,1438,696,742,1,14,21,78,1
2022,Warrandyte,VIC,3113,Government,Secondary,School Single Entity,07-Dec,Major Cities,1038,64,22,32,26,20,37,29.9,19,14.5,334,146,188,0,0,12,78,10
2022,Watsonia,VIC,3087,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1050,69,15,34,33,18,112,107.2,69,56.2,1405,706,699,0,0,8,92,0
2022,Waverley Gardens,VIC,3174,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1040,65,20,30,31,18,70,61.6,40,31.1,746,329,417,0,0,30,70,0
2022,Werribee,VIC,3031,Government,Secondary,School Single Entity,Sept-13,Major Cities,1037,60,27,22,23,28,119,108,51,42,1374,678,696,2,27,60,40,0
2022,West Melbourne,VIC,3003,Catholic,Secondary,School Head Campus,07-Dec,Major Cities,1029,60,29,23,23,25,43,37.6,20,16,410,0,410,0,0,48,52,0
2022,Wheelers Hill,VIC,3150,Government,Secondary,School Single Entity,07-Dec,Major Cities,1025,58,23,35,28,14,58,52.3,22,16.1,700,374,326,2,14,20,78,2
2022,Williamstown,VIC,3016,Government,Secondary,School Head Campus,07-Dec,Major Cities,1109,87,8,16,30,46,128,108.5,50,29,1475,697,778,1,15,20,80,1
2022,Windsor,VIC,3181,Government,Secondary,School Single Entity,07-Oct,Major Cities,1093,83,10,17,34,40,38,35.5,17,13.7,420,167,253,2,8,37,63,0
2022,Wollert,VIC,3750,Government,Secondary,School Single Entity,07-Nov,Major Cities,1002,48,33,29,26,12,82,79.6,33,27.5,1004,501,503,1,10,77,23,0
